CourseDefinitionID,AbbrTitle,CourseCode,CourseFactor,EqCreditValue,ExtractToWeb,MaxEnrolments,MinEnrolments,Stage,StartDate,EndDate,CourseTitle,CostCategoryID,DeliveryModeID,EducationInstituteID,NZSCEDCategoryID,ProgrammeIDOwning,SourceOfFundingID,CourseDefinitionStatusID,CourseDefinitionSubstatusID,CourseDesc,OrgUnitIDOwning,IsThesisCourse
63,NULL,LAWS361,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Issues in Jurisprudence,5,4,1,113,85,1,3,1,"The course will vary in content depending on lecturing resources and interests, but will incorporate either or both of historical, cultural and philosophical contexts for law and particular contemporary issues in law.",10073,0
64,NULL,LAWS369,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Negotiation and the Lawyer,5,4,1,106,85,1,3,2,Theory and practice of negotiation; lawyers' roles and professional responsibility.,10073,0
65,NULL,LAWS370,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Legal Ethics,5,4,1,113,85,1,3,1,An introduction to ethical theories and their applicability to legal practice. The concept of a profession and the duties and responsibilities of lawyers.,10073,0
66,NULL,LAWS371,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Special Topic: Law and Sport,5,4,1,113,85,1,3,2,A study of the main principles of law affecting amateur and professional sporting activity.,10073,0
67,NULL,LAWS372,0.1,36,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Antarctic Legal Studies,5,4,1,113,85,1,3,1,NULL,10073,0
68,NULL,LAWS373,0.0917,11,1,20,0,3,2005-01-01 00:00:00,2007-12-31 00:00:00,Special Topic: Maritime Law,5,4,1,113,85,1,3,1,NULL,10073,0
69,NULL,LAWS374,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Advanced Intellectual Property,5,4,1,113,85,1,3,2,NULL,10073,0
70,NULL,LAWS375,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Principles of Public International Law,5,4,1,113,85,1,3,2,"The principles of the laws of nations in peace, war and neutrality, and selected issues.",10073,0
71,NULL,LAWS376,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2009-12-31 00:00:00,Special Topic: Principles of Environmental Law,5,4,1,113,85,1,3,1,NULL,10073,0
72,NULL,LAWS377,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Special Topic : Maori and the Law of Marine Resources,5,4,1,113,85,1,3,1,NULL,10073,0
73,NULL,LAWS379,0.1,12,1,0,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Research Project,5,4,1,110,85,1,3,1,NULL,10073,0
74,NULL,LAWS380,0.1,12,1,0,0,3,2005-01-01 00:00:00,2006-01-31 00:00:00,Special Topic: Contemporary Issues in Criminal Law,5,4,1,113,85,1,3,1,"Selected topics of current importance in ciriminal law, drawn from the following list: prosecution of serious fraud offences; consent in sexual offences; use of force in the defence of property; computer crime; terrorism-related offences; reform of pre-trial proceedings; disclosure in criminal cases; judicial control of proceedings; double jeopardy; jury confidentiality; interference with criminal proceedings (including both offences against justice and contempt of court); comparative perspectives on self-defence and defence of property.",10073,0
75,NULL,LAWS381,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2008-12-31 00:00:00,Landlord and tenant,5,4,1,113,85,1,3,1,"A study of the main principles of law relating to commercial, residential and agricultural leases and Maori leasehold land together with appropriate elements of negotiation, drafting and dispute resolution.",10073,0
76,NULL,LAWS382,0.1,12,1,20,0,3,2005-01-01 00:00:00,2005-12-31 00:00:00,Studies in Legal Services,5,4,1,113,85,1,3,1,Study of theoretical and practical issues relating to legal services.,10073,0
77,NULL,LAWS383,0.0917,11,1,0,0,3,2005-01-01 00:00:00,2010-12-31 00:00:00,Law and Medicine,5,4,1,113,85,1,3,1,A study of the main principles of law affecting medicine and medical practice.,10073,0
